DIA,COLOR,,,,2023
,,,,,
1/1/2023,,DOM,,,MARFIL
1/2/2023,,LUN,Festivo,,NARANJA
1/3/2023,,MART,,,MORADO
1/4/2023,,MIER,,,NEGRO
1/5/2023,,JUE,,,ORO
1/6/2023,,VIER,,,CAFÉ
1/7/2023,,SAB,,,ROSA
1/8/2023,,DOM,,,GRIS
1/9/2023,MARFIL,LUN,,,AZUL CLARO
1/10/2023,MARFIL,MART,,,MELON
1/11/2023,MARFIL,MIER,,,VERDE CLARO
1/12/2023,MARFIL,JUE,,,BLANCO
1/13/2023,NARANJA,VIER,,,AZUL
1/14/2023,,SAB,,,VERDE
1/15/2023,,DOM,,,ROJO
1/16/2023,NARANJA,LUN,,,AMARILLO
1/17/2023,NARANJA,MART,,,
1/18/2023,NARANJA,MIER,,,
1/19/2023,MORADO,JUE,,,
1/20/2023,MORADO,VIER,,,
1/21/2023,,SAB,,,
1/22/2023,,DOM,,,
1/23/2023,MORADO,LUN,,,
1/24/2023,MORADO,MART,,,
1/25/2023,NEGRO,MIER,,,
1/26/2023,NEGRO,JUE,,,
1/27/2023,NEGRO,VIER,,,
1/28/2023,,SAB,,,
1/29/2023,,DOM,,,
1/30/2023,NEGRO,LUN,,,
1/31/2023,ORO,MART,,,
2/1/2023,ORO,MIER,,,
2/2/2023,ORO,JUE,,,
2/3/2023,ORO,VIER,,,
2/4/2023,,SAB,,,
2/5/2023,,DOM,,,
2/6/2023,,LUN,Festivo,,
2/7/2023,CAFE,MART,,,
2/8/2023,CAFE,MIER,,,
2/9/2023,CAFE,JUE,,,
2/10/2023,CAFE,VIER,,,
2/11/2023,,SAB,,,
2/12/2023,,DOM,,,
2/13/2023,ROSA,LUN,,,
2/14/2023,ROSA,MART,,,
2/15/2023,ROSA,MIER,,,
2/16/2023,ROSA,JUE,,,
2/17/2023,GRIS,VIER,,,
2/18/2023,,SAB,,,
2/19/2023,,DOM,,,
2/20/2023,GRIS,LUN,,,
2/21/2023,GRIS,MART,,,
2/22/2023,GRIS,MIER,,,
2/23/2023,AZUL CLARO,JUE,,,
2/24/2023,AZUL CLARO,VIER,,,
2/25/2023,,SAB,,,
2/26/2023,,DOM,,,
2/27/2023,AZUL CLARO,LUN,,,
2/28/2023,AZUL CLARO,MART,,,
3/1/2023,MELON,MIER,,,
3/2/2023,MELON,JUE,,,
3/3/2023,MELON,VIER,,,
3/4/2023,,SAB,,,
3/5/2023,,DOM,,,
3/6/2023,MELON,LUN,,,
3/7/2023,VERDE CLARO,MART,,,
3/8/2023,VERDE CLARO,MIER,,,
3/9/2023,VERDE CLARO,JUE,,,
3/10/2023,VERDE CLARO,VIER,,,
3/11/2023,,SAB,,,
3/12/2023,,DOM,,,
3/13/2023,BLANCO,LUN,,,
3/14/2023,BLANCO,MART,,,
