serie,feeder,codigo,color,6/27/2023,6/28/2023,6/29/2023,6/30/2023,7/1/2023,7/2/2023,7/3/2023,7/4/2023,7/5/2023,7/6/2023,7/7/2023,7/8/2023,7/9/2023,7/10/2023,7/11/2023,7/12/2023,7/13/2023,7/14/2023,7/15/2023,7/16/2023,7/17/2023,7/18/2023,7/19/2023,7/20/2023,7/21/2023
104575032,CP6 8X2 PAPER 7'' ,389,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575033,CP6 8X2 PAPER 7'' ,238,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575034,CP6 8X2 PAPER 7'' ,387,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575035,CP6 8X2 PAPER 7'' ,241,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575036,CP6 8X2 PAPER 7'' ,87,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575037,CP6 8X2 PAPER 7'' ,236,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575038,CP6 8X2 PAPER 7'' ,78,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575039,CP6 8X2 PAPER 7'' ,95,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575040,CP6 8X2 PAPER 7'' ,182,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575041,CP6 8X2 PAPER 7'' ,79,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575042,CP6 8X2 PAPER 7'' ,292,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575043,CP6 8X2 PAPER 7'' ,200,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575044,CP6 8X2 PAPER 7'' ,396,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575045,CP6 8X2 PAPER 7'' ,45,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575046,CP6 8X2 PAPER 7'' ,92,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575047,CP6 8X2 PAPER 7'' ,244,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575048,CP6 8X2 PAPER 7'' ,46,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575049,CP6 8X2 PAPER 7'' ,400,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575050,CP6 8X2 PAPER 7'' ,242,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575051,CP6 8X2 PAPER 7'' ,172,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575052,CP6 8X2 PAPER 7'' ,245,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575053,CP6 8X2 PAPER 7'' ,42,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575054,CP6 8X2 PAPER 7'' ,328,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575055,CP6 8X2 PAPER 7'' ,91,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575056,CP6 8X2 PAPER 7'' ,384,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575057,CP6 8X2 PAPER 7'' ,386,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575058,CP6 8X2 PAPER 7'' ,383,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575059,CP6 8X2 PAPER 7'' ,399,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
104575060,CP6 8X2 PAPER 7'' ,385,AZUL,OK,OK,P,P,P,P,P,,,,,,,,,,,,,,,,,P,
,,,,,,,,,,,,,,,,,,,,,,,,,,,P,
